	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	2332		218		175		43		2157
	2	2157		218		178		40		1978
	3	1978		218		182		36		1797
	4	1797		218		185		33		1611
	5	1611		218		188		30		1423
	6	1423		218		192		26		1231
	7	1231		218		195		23		1036
	8	1036		218		199		19		837
	9	837		218		203		15		634
	10	634		218		206		12		428
	11	428		218		210		8		217
	12	217		218		214		4		3

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12342		1255		1018		237		11324
	2	11324		1255		1038		217		10286
	3	10286		1255		1058		197		9228
	4	9228		1255		1078		177		8150
	5	8150		1255		1099		156		7051
	6	7051		1255		1120		135		5931
	7	5931		1255		1141		114		4790
	8	4790		1255		1163		92		3626
	9	3626		1255		1185		70		2441
	10	2441		1255		1208		47		1233
	11	1233		1255		1231		24		1

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	32147		2993		2430		563		29717
	2	29717		2993		2473		520		27244
	3	27244		2993		2516		477		24727
	4	24727		2993		2560		433		22167
	5	22167		2993		2605		388		19562
	6	19562		2993		2651		342		16911
	7	16911		2993		2697		296		14214
	8	14214		2993		2744		249		11470
	9	11470		2993		2792		201		8678
	10	8678		2993		2841		152		5837
	11	5837		2993		2891		102		2946
	12	2946		2993		2941		52		4

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	34523		17326		17240		86		17283
	2	17283		17326		17283		43		1

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	243223		12898		10466		2432		232757
	2	232757		12898		10570		2328		222187
	3	222187		12898		10676		2222		211511
	4	211511		12898		10783		2115		200728
	5	200728		12898		10891		2007		189837
	6	189837		12898		11000		1898		178837
	7	178837		12898		11110		1788		167728
	8	167728		12898		11221		1677		156507
	9	156507		12898		11333		1565		145174
	10	145174		12898		11446		1452		133728
	11	133728		12898		11561		1337		122167
	12	122167		12898		11676		1222		110491
	13	110491		12898		11793		1105		98698
	14	98698		12898		11911		987		86787
	15	86787		12898		12030		868		74757
	16	74757		12898		12150		748		62606
	17	62606		12898		12272		626		50334
	18	50334		12898		12395		503		37940
	19	37940		12898		12519		379		25421
	20	25421		12898		12644		254		12777
	21	12777		12898		12770		128		7

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	324		29		28		1		296
	2	296		29		29		0		267
	3	267		29		29		0		238
	4	238		29		29		0		210
	5	210		29		29		0		181
	6	181		29		29		0		153
	7	153		29		29		0		124
	8	124		29		29		0		95
	9	95		29		29		0		66
	10	66		29		29		0		37
	11	37		29		29		0		8

