	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		1055		955		100		9045
	2	9045		1055		965		90		8080
	3	8080		1055		974		81		7106
	4	7106		1055		984		71		6122
	5	6122		1055		994		61		5129
	6	5129		1055		1004		51		4125
	7	4125		1055		1014		41		3111
	8	3111		1055		1024		31		2087
	9	2087		1055		1034		21		1053
	10	1053		1055		1044		11		9

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		879		796		83		9204
	2	9204		879		802		77		8402
	3	8402		879		809		70		7593
	4	7593		879		816		63		6777
	5	6777		879		823		56		5955
	6	5955		879		829		50		5125
	7	5125		879		836		43		4289
	8	4289		879		843		36		3446
	9	3446		879		850		29		2596
	10	2596		879		857		22		1738
	11	1738		879		865		14		874
	12	874		879		872		7		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		879		796		83		9204
	2	9204		879		802		77		8402
	3	8402		879		809		70		7593
	4	7593		879		816		63		6777
	5	6777		879		823		56		5955
	6	5955		879		829		50		5125
	7	5125		879		836		43		4289
	8	4289		879		843		36		3446
	9	3446		879		850		29		2596
	10	2596		879		857		22		1738
	11	1738		879		865		14		874
	12	874		879		872		7		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		879		796		83		9204
	2	9204		879		802		77		8402
	3	8402		879		809		70		7593
	4	7593		879		816		63		6777
	5	6777		879		823		56		5955
	6	5955		879		829		50		5125
	7	5125		879		836		43		4289
	8	4289		879		843		36		3446
	9	3446		879		850		29		2596
	10	2596		879		857		22		1738
	11	1738		879		865		14		874
	12	874		879		872		7		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		955		872		83		9128
	2	9128		955		879		76		8249
	3	8249		955		886		69		7363
	4	7363		955		894		61		6470
	5	6470		955		901		54		5568
	6	5568		955		909		46		4660
	7	4660		955		916		39		3744
	8	3744		955		924		31		2820
	9	2820		955		932		23		1888
	10	1888		955		939		16		949
	11	949		955		947		8		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		879		796		83		9204
	2	9204		879		802		77		8402
	3	8402		879		809		70		7593
	4	7593		879		816		63		6777
	5	6777		879		823		56		5955
	6	5955		879		829		50		5125
	7	5125		879		836		43		4289
	8	4289		879		843		36		3446
	9	3446		879		850		29		2596
	10	2596		879		857		22		1738
	11	1738		879		865		14		874
	12	874		879		872		7		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	1000		1009		999		10		1

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		955		872		83		9128
	2	9128		955		879		76		8249
	3	8249		955		886		69		7363
	4	7363		955		894		61		6470
	5	6470		955		901		54		5568
	6	5568		955		909		46		4660
	7	4660		955		916		39		3744
	8	3744		955		924		31		2820
	9	2820		955		932		23		1888
	10	1888		955		939		16		949
	11	949		955		947		8		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		955		872		83		9128
	2	9128		955		879		76		8249
	3	8249		955		886		69		7363
	4	7363		955		894		61		6470
	5	6470		955		901		54		5568
	6	5568		955		909		46		4660
	7	4660		955		916		39		3744
	8	3744		955		924		31		2820
	9	2820		955		932		23		1888
	10	1888		955		939		16		949
	11	949		955		947		8		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12345		3228		3002		226		9343
	2	9343		3228		3057		171		6287
	3	6287		3228		3113		115		3174
	4	3174		3228		3170		58		4

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	1000		96		86		10		914
	2	914		96		87		9		827
	3	827		96		88		8		739
	4	739		96		89		7		651
	5	651		96		89		7		561
	6	561		96		90		6		471
	7	471		96		91		5		380
	8	380		96		92		4		287
	9	287		96		93		3		194
	10	194		96		94		2		100
	11	100		96		95		1		5

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		964		864		100		9136
	2	9136		964		873		91		8263
	3	8263		964		881		83		7382
	4	7382		964		890		74		6492
	5	6492		964		899		65		5593
	6	5593		964		908		56		4685
	7	4685		964		917		47		3768
	8	3768		964		926		38		2841
	9	2841		964		936		28		1906
	10	1906		964		945		19		961
	11	961		964		954		10		6

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		964		864		100		9136
	2	9136		964		873		91		8263
	3	8263		964		881		83		7382
	4	7382		964		890		74		6492
	5	6492		964		899		65		5593
	6	5593		964		908		56		4685
	7	4685		964		917		47		3768
	8	3768		964		926		38		2841
	9	2841		964		936		28		1906
	10	1906		964		945		19		961
	11	961		964		954		10		6

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	100		14		13		1		87
	2	87		14		13		1		73
	3	73		14		14		0		60
	4	60		14		14		0		46
	5	46		14		14		0		32
	6	32		14		14		0		18
	7	18		14		14		0		4

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	100		14		13		1		87
	2	87		14		13		1		73
	3	73		14		14		0		60
	4	60		14		14		0		46
	5	46		14		14		0		32
	6	32		14		14		0		18
	7	18		14		14		0		4

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	100		14		13		1		87
	2	87		14		13		1		73
	3	73		14		14		0		60
	4	60		14		14		0		46
	5	46		14		14		0		32
	6	32		14		14		0		18
	7	18		14		14		0		4

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	100		14		13		1		87
	2	87		14		13		1		73
	3	73		14		14		0		60
	4	60		14		14		0		46
	5	46		14		14		0		32
	6	32		14		14		0		18
	7	18		14		14		0		4

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		1551		534		1017		9466
	2	9466		1551		589		962		8877
	3	8877		1551		649		902		8229
	4	8229		1551		714		837		7514
	5	7514		1551		787		764		6727
	6	6727		1551		867		684		5860
	7	5860		1551		955		596		4905
	8	4905		1551		1052		499		3852
	9	3852		1551		1159		392		2693
	10	2693		1551		1277		274		1416
	11	1416		1551		1407		144		9

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12312		6240		6127		113		6185
	2	6185		6240		6183		57		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12312		6240		6127		113		6185
	2	6185		6240		6183		57		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12312		6240		6127		113		6185
	2	6185		6240		6183		57		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		5075		4975		100		5025
	2	5025		5075		5025		50		0

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		964		864		100		9136
	2	9136		964		873		91		8263
	3	8263		964		881		83		7382
	4	7382		964		890		74		6492
	5	6492		964		899		65		5593
	6	5593		964		908		56		4685
	7	4685		964		917		47		3768
	8	3768		964		926		38		2841
	9	2841		964		936		28		1906
	10	1906		964		945		19		961
	11	961		964		954		10		6

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	234		20		18		2		216
	2	216		20		18		2		198
	3	198		20		18		2		180
	4	180		20		18		2		162
	5	162		20		19		1		143
	6	143		20		19		1		124
	7	124		20		19		1		106
	8	106		20		19		1		86
	9	86		20		19		1		67
	10	67		20		19		1		48
	11	48		20		20		0		28
	12	28		20		20		0		9

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		10099		9999		100		1

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	23432		2473		2239		234		21193
	2	21193		2473		2261		212		18932
	3	18932		2473		2284		189		16649
	4	16649		2473		2307		166		14342
	5	14342		2473		2330		143		12012
	6	12012		2473		2353		120		9660
	7	9660		2473		2376		97		7283
	8	7283		2473		2400		73		4883
	9	4883		2473		2424		49		2459
	10	2459		2473		2448		25		10

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		879		796		83		9204
	2	9204		879		802		77		8402
	3	8402		879		809		70		7593
	4	7593		879		816		63		6777
	5	6777		879		823		56		5955
	6	5955		879		829		50		5125
	7	5125		879		836		43		4289
	8	4289		879		843		36		3446
	9	3446		879		850		29		2596
	10	2596		879		857		22		1738
	11	1738		879		865		14		874
	12	874		879		872		7		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		879		796		83		9204
	2	9204		879		802		77		8402
	3	8402		879		809		70		7593
	4	7593		879		816		63		6777
	5	6777		879		823		56		5955
	6	5955		879		829		50		5125
	7	5125		879		836		43		4289
	8	4289		879		843		36		3446
	9	3446		879		850		29		2596
	10	2596		879		857		22		1738
	11	1738		879		865		14		874
	12	874		879		872		7		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12121		586		475		111		11646
	2	11646		586		479		107		11167
	3	11167		586		484		102		10683
	4	10683		586		488		98		10195
	5	10195		586		493		93		9703
	6	9703		586		497		89		9206
	7	9206		586		502		84		8704
	8	8704		586		506		80		8198
	9	8198		586		511		75		7687
	10	7687		586		516		70		7171
	11	7171		586		520		66		6651
	12	6651		586		525		61		6126
	13	6126		586		530		56		5596
	14	5596		586		535		51		5061
	15	5061		586		540		46		4522
	16	4522		586		545		41		3977
	17	3977		586		550		36		3428
	18	3428		586		555		31		2873
	19	2873		586		560		26		2314
	20	2314		586		565		21		1749
	21	1749		586		570		16		1179
	22	1179		586		575		11		604
	23	604		586		580		6		23

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	456		29		13		16		443
	2	443		29		13		16		430
	3	430		29		14		15		417
	4	417		29		14		15		403
	5	403		29		15		14		388
	6	388		29		15		14		373
	7	373		29		16		13		357
	8	357		29		16		13		341
	9	341		29		17		12		324
	10	324		29		17		12		307
	11	307		29		18		11		289
	12	289		29		19		10		270
	13	270		29		19		10		251
	14	251		29		20		9		231
	15	231		29		21		8		210
	16	210		29		21		8		189
	17	189		29		22		7		167
	18	167		29		23		6		143
	19	143		29		24		5		120
	20	120		29		25		4		95
	21	95		29		26		3		69
	22	69		29		27		2		43
	23	43		29		27		2		15

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	2323		450		1		449		2322
	2	2322		450		1		449		2321
	3	2321		450		1		449		2320
	4	2320		450		2		448		2318
	5	2318		450		2		448		2316
	6	2316		450		2		448		2314
	7	2314		450		3		447		2312
	8	2312		450		3		447		2309
	9	2309		450		4		446		2305
	10	2305		450		4		446		2301
	11	2301		450		5		445		2296
	12	2296		450		6		444		2289
	13	2289		450		7		443		2282
	14	2282		450		9		441		2273
	15	2273		450		11		439		2263
	16	2263		450		13		437		2250
	17	2250		450		15		435		2235
	18	2235		450		18		432		2217
	19	2217		450		21		429		2196
	20	2196		450		25		425		2170
	21	2170		450		30		420		2140
	22	2140		450		36		414		2104
	23	2104		450		43		407		2060
	24	2060		450		52		398		2009
	25	2009		450		62		388		1947
	26	1947		450		74		376		1873
	27	1873		450		88		362		1786
	28	1786		450		105		345		1681
	29	1681		450		125		325		1556
	30	1556		450		149		301		1406
	31	1406		450		178		272		1228
	32	1228		450		213		237		1016
	33	1016		450		254		196		762

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	2343		131		86		45		2257
	2	2257		131		88		43		2169
	3	2169		131		89		42		2080
	4	2080		131		91		40		1989
	5	1989		131		93		38		1896
	6	1896		131		95		36		1801
	7	1801		131		96		35		1705
	8	1705		131		98		33		1606
	9	1606		131		100		31		1506
	10	1506		131		102		29		1404
	11	1404		131		104		27		1300
	12	1300		131		106		25		1194
	13	1194		131		108		23		1086
	14	1086		131		110		21		975
	15	975		131		112		19		863
	16	863		131		114		17		749
	17	749		131		117		14		632
	18	632		131		119		12		513
	19	513		131		121		10		392
	20	392		131		123		8		268
	21	268		131		126		5		143
	22	143		131		128		3		14

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	2343		125		82		43		2261
	2	2261		125		84		41		2177
	3	2177		125		85		40		2092
	4	2092		125		87		38		2006
	5	2006		125		88		37		1917
	6	1917		125		90		35		1828
	7	1828		125		91		34		1736
	8	1736		125		93		32		1643
	9	1643		125		95		30		1548
	10	1548		125		97		28		1451
	11	1451		125		98		27		1353
	12	1353		125		100		25		1253
	13	1253		125		102		23		1151
	14	1151		125		104		21		1047
	15	1047		125		106		19		941
	16	941		125		108		17		833
	17	833		125		110		15		724
	18	724		125		112		13		612
	19	612		125		114		11		498
	20	498		125		116		9		382
	21	382		125		118		7		264
	22	264		125		120		5		144
	23	144		125		122		3		22

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	34534		1531		1473		58		33061
	2	33061		1531		1476		55		31585
	3	31585		1531		1478		53		30106
	4	30106		1531		1481		50		28625
	5	28625		1531		1483		48		27142
	6	27142		1531		1486		45		25656
	7	25656		1531		1488		43		24168
	8	24168		1531		1491		40		22677
	9	22677		1531		1493		38		21184
	10	21184		1531		1496		35		19689
	11	19689		1531		1498		33		18190
	12	18190		1531		1501		30		16690
	13	16690		1531		1503		28		15187
